id,citations_google_scholar,date,author,year,title,titre_scholar,similarite
carliner1981,253,2026-09-03,"Carliner, Geoffrey",1981,Wage differences by language group and the market for language skills in Canada,Wage differences by language group and the market for language skills,1.1
bloom1992,,,"Bloom, David E.; Grenier, Gilles",1992,"Economic perspectives on language: The relative value of bilingualism in Canada and the United States (NBER WP 3660, 1991 : The earnings of linguistic minorities: French in Canada and Spanish in the United States)",,
chiswick1988,155,2026-09-03,"Chiswick, Barry R.; Miller, Paul W.",1988,"Earnings in Canada: The roles of immigrant generation, French ethnicity, and language","Earnings in Canada: the roles of immigrant generation, French ethnicit…",1.1
pendakur2002,,,"Pendakur, Krishna; Pendakur, Ravi",2002,Language as both human capital and ethnicity,,
fenwick1982,,,"Fenwick, Rudy",1982,Ethnic culture and economic structure: Determinants of French-English earnings inequality in Quebec,,
nakhaie1994,,,"Nakhaie, M. Reza",1994,"Class, gender and ethnic income inequalities in 1973 and 1984: Findings from the Canadian national surveys",,
levine1990,437,2026-09-03,"Levine, Marc V.",1990,The Reconquest of Montreal: Language Policy and Social Change in a Bilingual City,The reconquest of Montreal: Language policy and social change in a bil…,1.1
lieberson1970,361,2026-09-03,"Lieberson, Stanley",1970,Language and Ethnic Relations in Canada,Language and Ethnic Relations in Canada.,1.1
pettinicchio2012,,,"Pettinicchio, David",2012,Migration and ethnic nationalism: Anglophone exit and the 'decolonisation' of Québec,,
ram1980,,,"Ram, Bali; et al.",1980,Anglophone-Francophone differences in returns to schooling in Canada,,
hughes1941,,,"Hughes, Everett C.; McDonald, Margaret L.",1941,French and English in the economic structure of Montreal,,
beland1987,,,"Béland, François",1987,"A comparison of the mobility structures of francophones and anglophones in Quebec: 1954, 1964, 1974",,
taylor1961,,,"Taylor, Norman W.",1961,L'industriel canadien-français et son milieu,,
vaillancourt2024b,,,"Vaillancourt, François; et al.",2024,"La propriété des employeurs du Québec, 2023 : la place des francophones",,
lacroix1981,,,"Lacroix, Robert; Vaillancourt, François",1981,Les revenus et la langue au Québec (1970-1978),,
rcbb1969,19,2026-09-03,Commission royale d'enquête sur le bilinguisme et le biculturalisme (Laurendeau-Dunton),1969,"Rapport de la Commission royale d'enquête sur le bilinguisme et le biculturalisme, Livre III : Le monde du travail",Rapport de la Commission royale d'enquête sur le bilinguisme et le bic…,0.83
raynauld1966,,2026-09-03,"Raynauld, André; Marion, Gérald; Béland, Richard",1966,La répartition des revenus selon les groupes ethniques au Canada (3 vol.),,0.52
marion1972,,,"Marion, Gérald; Raynauld, André",1972,Une analyse économique de la disparité inter-ethnique des revenus,,
raynauld1974,,,"Raynauld, André",1974,La propriété des entreprises au Québec : les années 60,,
lanphier1974,,,"Lanphier, C. Michael; Morris, Raymond N.",1974,Structural aspects of differences in income between anglophones and francophones,,
raynauld1975,,,"Raynauld, André; Marion, Gérald",1975,Structural aspects of differences in income between anglophones and francophones: A reply,,
beattie1972,,,"Beattie, Christopher; Désy, Jacques; Longstaff, Stephen",1972,Bureaucratic Careers: Anglophones and Francophones in the Canadian Public Service,,
